UniProt ID	Citation (Hyperlinked DOI #1)	Citation (Hyperlinked DOI #2)	Citation (Hyperlinked DOI #3)
Q9X5S2	https://doi.org/10.1016/S1074-5521(99)80040-4		
A0A060PWX2	https://doi.org/10.1002/anie.201402623		
A0A062UZ78	https://doi.org/10.1126/science.aao6595		
A0A0E1M5B1	http://dx.doi.org/10.1002/pro.3529		
A0A0E3RYH2	https://doi.org/10.1002/anie.201803183		
A0A0H3KB22	https://doi.org/10.1093/nar/29.5.1097	https://doi.org/10.1007/BF00290574	https://doi.org/10.1002/chem.201604719
A0A0H4NV78	https://doi.org/10.1021/jacs.6b10901		
A0A0K0K526	https://doi.org/10.1021/ja312641f		
A0A0M3N271	https://doi.org/10.1021/acs.biochem.8b00693		
A0A0Z8EWX1	http://dx.doi.org/10.1073/pnas.1703663114		
A0A144V459	https://doi.org/10.1111/1462-2920.12509		
A0A1C7D1B6	http://dx.doi.org/10.1038/nsmb.3265		
A0A1C7D1B7	http://dx.doi.org/10.1038/nsmb.3265		
A0A1H7F4G6	https://doi.org/10.1002/anie.202107192		
A0A1I5E523	https://doi.org/10.1111/febs.14307	https://doi.org/10.1016/j.febslet.2010.04.053	
A0A1M5XT65	https://doi.org/10.1111/1462-2920.15346		
A0A1W6VU85	https://doi.org/10.1021/jacs.0c08585		
A0A2W5DYM3	https://doi.org/10.1073/pnas.1508440112	http://dx.doi.org/10.1126/science.1241859	http://dx.doi.org/10.1021/acs.biochem.5b01216
A0A2Z6BLR4	https://doi.org/10.1021/acs.biochem.9b00197		
A0A376LGD9	http://www.jbc.org/content/285/8/5240		
A0A378Y5A1	https://doi.org/10.1021/jacs.9b01520		
A0A5C8IMA7	https://doi.org/10.1021/acs.biochem.9b00197		
A0A656FYS1	https://doi.org/10.1021/acschembio.6b01069		
A0A6B9HEI0	https://doi.org/10.1039/C9CC07197K		
A0A6F8Z1X2	https://doi.org/10.3390/biom10050775		
A0A7C9KC68	https://doi.org/10.1038/s41586-019-1791-1		
A0A7G7KS84	https://doi.org/10.1002/anie.202015177		
A0B690	https://pubs.acs.org/doi/10.1021/jacs.0c02243		
A0PM49	https://doi.org/10.1074/jbc.M117.795682		
A1B2Q7	https://doi.org/10.1074/jbc.M115.638320		
A3DDW1	https://doi.org/10.1021/jacs.7b01283		
A4IQU1	https://doi.org/10.1093/nar/gks603	https://doi.org/10.3389/fchem.2017.00014	
A4J6G2	https://doi.org/10.1016/j.bbapap.2006.11.008		
A4VXX3	https://doi.org/10.1021/jacs.9b05151		
A5HBL2	https://doi.org/10.1261/rna.1371409		
A6L094	not yet published. Only the structure reported.		
A6M1R8	https://doi.org/10.1021/ja504618y		
A8R0J3	https://doi.org/10.1038/ja.2007.63		
A8R0J7	https://doi.org/10.1038/ja.2007.63		
A8R0J8	https://doi.org/10.1038/ja.2007.63		
B1C2R2	http://dx.doi.org/10.1073/pnas.1909604116		
B1KQP7	https://doi.org/10.1038/s41467-018-05217-1		
B3QHD1	https://doi.org/10.1073/pnas.0912949107		
B8J367	https://doi.org/10.1016/j.bbapap.2014.03.016		
B9ZUJ4	https://doi.org/10.1016/j.chembiol.2008.11.005		
C0JRZ9	https://doi.org/10.1016/j.chembiol.2009.01.007	https://doi.org/10.1021/jacs.5b12592	http://doi.org/10.1038/ncomms9377
C2TQ82	https://doi.org/10.1371/journal.pone.0020852		
C3HC15	https://doi.org/10.1021/jacs.9b01519		
C3HC16	https://doi.org/10.1021/jacs.9b01519		
C6FX51	https://www.nature.com/articles/nchembio.512	https://doi.org/10.1002/anie.201407320	http://dx.doi.org/10.1126/science.aad8995
C6FX53	https://doi.org/10.1002/anie.201712224	https://doi.org/10.1021/cb900133x	https://doi.org/10.1021/jacs.8b13157
C6XW09	https://doi.org/10.1021/acs.biochem.0c00070		
C7P8S7	https://doi.org/10.1111/j.1365-2958.2005.04989.x		
D0QZJ5	https://doi.org/10.1002/anie.201102527	https://doi.org/10.1016/j.febslet.2015.05.032	
D1C4T7	not yet published. Only the structure reported		
D2KTX6	https://doi.org/10.1021/ja902261a		
