TIGR00001	50S ribosomal protein L35
TIGR00002	30S ribosomal protein S16
TIGR00005	RluA family pseudouridine synthase
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
TIGR00008	translation initiation factor IF-1
TIGR00009	50S ribosomal protein L28
TIGR00010	YchF/TatD family DNA exonuclease
TIGR00011	Cys-tRNA(Pro) deacylase
TIGR00012	50S ribosomal protein L29
TIGR00014	arsenate reductase (glutaredoxin)
TIGR00016	acetate/propionate family kinase
TIGR00017	(d)CMP kinase
TIGR00018	pantoate--beta-alanine ligase
TIGR00019	peptide chain release factor 1
TIGR00020	peptide chain release factor 2
TIGR00021	ribose 5-phosphate isomerase A
TIGR00022	YhcH/YjgK/YiaL family protein
TIGR00023	glycerol-3-phosphate 1-O-acyltransferase
TIGR00026	nitroreductase family deazaflavin-dependent oxidoreductase
TIGR00027	SAM-dependent methyltransferase
TIGR00029	30S ribosomal protein S20
TIGR00030	30S ribosomal protein S21
TIGR00031	UDP-galactopyranose mutase
TIGR00032	argininosuccinate synthase
TIGR00033	chorismate synthase
TIGR00034	3-deoxy-7-phosphoheptulonate synthase
TIGR00035	amino acid racemase
TIGR00036	4-hydroxy-tetrahydrodipicolinate reductase
TIGR00037	translation initiation factor IF-5A
TIGR00038	elongation factor P
TIGR00040	YfcE family phosphodiesterase
TIGR00041	dTMP kinase
TIGR00042	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase
TIGR00043	rRNA maturation RNase YbeY
TIGR00044	YggS family pyridoxal phosphate-dependent enzyme
TIGR00045	glycerate kinase
TIGR00046	RsmE family RNA methyltransferase
TIGR00048	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
TIGR00049	iron-sulfur cluster assembly accessory protein
TIGR00050	TrmJ/YjtD family RNA methyltransferase
TIGR00051	YbgC/FadM family acyl-CoA thioesterase
TIGR00053	YafQ family addiction module toxin
TIGR00054	RIP metalloprotease RseP
TIGR00055	di-trans,poly-cis-decaprenylcistransferase
TIGR00056	MlaE family lipid ABC transporter permease subunit
TIGR00057	threonylcarbamoyl-AMP synthase
TIGR00058	hemerythrin family non-heme iron protein
TIGR00059	50S ribosomal protein L17
TIGR00060	50S ribosomal protein L18
TIGR00061	50S ribosomal protein L21
TIGR00062	50S ribosomal protein L27
TIGR00063	GTP cyclohydrolase I FolE
TIGR00064	signal recognition particle-docking protein FtsY
TIGR00065	cell division protein FtsZ
TIGR00066	gamma-glutamyltransferase
TIGR00067	glutamate racemase
TIGR00068	lactoylglutathione lyase
TIGR00069	histidinol dehydrogenase
TIGR00070	ATP phosphoribosyltransferase
TIGR00071	tRNA pseudouridine(38-40) synthase TruA
TIGR00072	hydrogenase maturation protease
TIGR00073	hydrogenase accessory protein HypB
TIGR00074	HypC/HybG/HupF family hydrogenase formation chaperone
TIGR00075	hydrogenase formation protein HypD
TIGR00077	signal peptidase II
TIGR00078	carboxylating nicotinate-nucleotide diphosphorylase
TIGR00079	peptide deformylase
TIGR00080	protein-L-isoaspartate O-methyltransferase
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR00082	30S ribosome-binding factor RbfA
TIGR00083	riboflavin biosynthesis protein RibF
TIGR00084	Holliday junction branch migration protein RuvA
TIGR00086	SsrA-binding protein
TIGR00087	5'/3'-nucleotidase SurE
TIGR00088	tRNA (guanosine(37)-N1)-methyltransferase TrmD
TIGR00089	MiaB/RimO family radical SAM methylthiotransferase
TIGR00090	ribosome silencing factor
TIGR00091	tRNA (guanosine(46)-N7)-methyltransferase TrmB
TIGR00092	redox-regulated ATPase YchF
TIGR00093	pseudouridine synthase
TIGR00094	tRNA pseudouridine(13) synthase TruD
TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
TIGR00097	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
TIGR00099	Cof-type HAD-IIB family hydrolase
TIGR00100	hydrogenase maturation nickel metallochaperone HypA
TIGR00101	urease accessory protein UreG
TIGR00103	YbaB/EbfC family nucleoid-associated protein
TIGR00104	tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO
TIGR00105	50S ribosomal protein L31
TIGR00107	purine-nucleoside phosphorylase
TIGR00109	ferrochelatase
TIGR00110	dihydroxy-acid dehydratase
TIGR00111	mRNA surveillance protein pelota
TIGR00112	pyrroline-5-carboxylate reductase
TIGR00113	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
TIGR00114	6,7-dimethyl-8-ribityllumazine synthase
TIGR00115	trigger factor
TIGR00116	translation elongation factor Ts
TIGR00117	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
TIGR00118	biosynthetic-type acetolactate synthase large subunit
TIGR00119	acetolactate synthase small subunit
TIGR00120	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase
TIGR00121	biotin--[acetyl-CoA-carboxylase] ligase
TIGR00122	biotin operon repressor
TIGR00123	cobalt ECF transporter S component CbiM
TIGR00124	[citrate (pro-3S)-lyase] ligase
TIGR00126	deoxyribose-phosphate aldolase
TIGR00127	isocitrate dehydrogenase (NADP(+))
